variant,seed,test_level,mse_hat_vs_clean,mse_degraded_vs_clean,cos_hat_vs_clean,cos_degraded_vs_clean,cos_hat_vs_degraded,mse_improvement,recovers,mse_mean_predictor,cos_mean_predictor,r2_hat,r2_degraded,centered_cos_hat,centered_cos_degraded,beats_mean_predictor
ed_residual,0,1.0,0.0822044238448143,0.08551614731550217,0.8279975056648254,0.8181148171424866,0.9814636707305908,0.003311723470687866,True,0.011276578530669212,0.9757827520370483,-6.2898373936066445,-6.583518979885753,-0.08573625981807709,-0.13776278495788574,False
ed_residual,1,0.0,0.009173329919576645,0.0,0.9821853637695312,1.0,0.9821853637695312,-0.009173329919576645,False,0.011276578530669212,0.9757827520370483,0.18651478419383205,1.0,0.775698184967041,1.0,True
ed_residual,1,0.2,0.004404131788760424,0.008332911878824234,0.990899920463562,0.9822772741317749,0.9809200167655945,0.00392878009006381,True,0.011276578530669212,0.9757827520370483,0.6094443206525464,0.26104253553850665,0.8052485585212708,0.6384398341178894,True
ed_residual,1,0.4,0.0052974410355091095,0.017251700162887573,0.9887134432792664,0.9632935523986816,0.9804533123970032,0.011954259127378464,True,0.011276578530669212,0.9757827520370483,0.53022620991806,-0.5298700856795935,0.7240414023399353,0.37913018465042114,True
ed_residual,1,0.6,0.009258564561605453,0.02802927978336811,0.9801169037818909,0.940339207649231,0.9802735447883606,0.018770715221762657,True,0.011276578530669212,0.9757827520370483,0.17895622892842122,-1.4856191713768614,0.48312750458717346,0.18504689633846283,True
ed_residual,1,0.8,0.017819590866565704,0.04208514839410782,0.9613980650901794,0.9104012846946716,0.9802996516227722,0.024265557527542114,True,0.011276578530669212,0.9757827520370483,-0.5802302815611391,-2.7320848943363196,0.15284398198127747,0.020805155858397484,False
ed_residual,1,1.0,0.08205492794513702,0.08551614731550217,0.8284085988998413,0.8181148171424866,0.9809325337409973,0.003461219370365143,True,0.011276578530669212,0.9757827520370483,-6.276580189812898,-6.583518979885753,-0.0824611708521843,-0.13776278495788574,False
ed_residual,2,0.0,0.009596530348062515,0.0,0.9814180731773376,1.0,0.9814180731773376,-0.009596530348062515,False,0.011276578530669212,0.9757827520370483,0.14898563230304518,1.0,0.7702953815460205,1.0,True
ed_residual,2,0.2,0.004526257980614901,0.008332911878824234,0.9906529784202576,0.9822772741317749,0.9800646901130676,0.0038066538982093334,True,0.011276578530669212,0.9757827520370483,0.5986142455972159,0.26104253553850665,0.8061283826828003,0.6384398341178894,True
ed_residual,2,0.4,0.00535188801586628,0.017251700162887573,0.988593578338623,0.9632935523986816,0.9795623421669006,0.011899812147021294,True,0.011276578530669212,0.9757827520370483,0.525397885421486,-0.5298700856795935,0.7330920696258545,0.37913018465042114,True
ed_residual,2,0.6,0.00924648717045784,0.02802927978336811,0.9801447987556458,0.940339207649231,0.9793576598167419,0.01878279261291027,True,0.011276578530669212,0.9757827520370483,0.18002724449531204,-1.4856191713768614,0.49482911825180054,0.18504689633846283,True
ed_residual,2,0.8,0.017761841416358948,0.04208514839410782,0.9615331292152405,0.9104012846946716,0.9793652892112732,0.02432330697774887,True,0.011276578530669212,0.9757827520370483,-0.575109096083674,-2.7320848943363196,0.1564456820487976,0.020805155858397484,False
ed_residual,2,1.0,0.0824168249964714,0.08551614731550217,0.8278172016143799,0.8181148171424866,0.9800810217857361,0.0030993223190307617,True,0.011276578530669212,0.9757827520370483,-6.308672996185869,-6.583518979885753,-0.08268458396196365,-0.13776278495788574,False
ed_shuf,0,0.0,0.01142046321183443,0.0,0.9756050109863281,1.0,0.9756050109863281,-0.01142046321183443,False,0.011276578530669212,0.9757827520370483,-0.012759604411381575,1.0,0.001311421045102179,1.0,False
ed_shuf,0,0.2,0.01142046321183443,0.008332911878824234,0.9756050109863281,0.9822772741317749,0.9707682728767395,-0.0030875513330101967,False,0.011276578530669212,0.9757827520370483,-0.012759604411381575,0.26104253553850665,0.001311421045102179,0.6384398341178894,False
ed_shuf,0,0.4,0.01142046321183443,0.017251700162887573,0.9756050109863281,0.9632935523986816,0.9610775709152222,0.0058312369510531425,True,0.011276578530669212,0.9757827520370483,-0.012759604411381575,-0.5298700856795935,0.001311421045102179,0.37913018465042114,False
ed_shuf,0,0.6,0.01142046321183443,0.02802927978336811,0.9756050109863281,0.940339207649231,0.9468506574630737,0.01660881657153368,True,0.011276578530669212,0.9757827520370483,-0.012759604411381575,-1.4856191713768614,0.001311421045102179,0.18504689633846283,False
