regime,arm,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
clean,fusion,0,0.0,Arable land,883,0.7821901323706378,0.7361268403171007,0.7584597432905484,0.849002411826488,650,181,233,1087
clean,fusion,0,0.0,Broad-leaved forest,511,0.5304878048780488,0.3405088062622309,0.41477949940405245,0.4999090105716736,174,154,337,1486
clean,fusion,0,0.0,Complex cultivation patterns,1172,0.7328671328671329,0.89419795221843,0.8055342044581092,0.8467715562062827,1048,382,124,597
clean,fusion,0,0.0,Coniferous forest,1193,0.8763345195729537,0.8256496227996647,0.8502373759171342,0.9413473544896698,985,139,208,819
clean,fusion,0,0.0,Inland waters,379,0.7753164556962026,0.6464379947229552,0.7050359712230215,0.7565952552159136,245,71,134,1701
clean,fusion,0,0.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6672283066554339,0.7951807228915663,0.7256069628950985,0.7703828105210306,792,395,204,760
clean,fusion,0,0.0,Marine waters,116,0.8467153284671532,1.0,0.9169960474308301,0.9999999999999999,116,21,0,2014
clean,fusion,0,0.0,Mixed forest,1214,0.7085526315789473,0.8871499176276771,0.7878566203365033,0.818944885433621,1077,443,137,494
clean,fusion,0,0.0,Pastures,916,0.7015503875968992,0.5927947598253275,0.642603550295858,0.7530366682723397,543,231,373,1004
clean,fusion,0,0.0,"Transitional woodland, shrub",885,0.7203065134099617,0.21242937853107344,0.32809773123909247,0.592573381519035,188,73,697,1193
clean,fusion,0,0.0,Urban fabric,265,0.7196969696969697,0.3584905660377358,0.47858942065491183,0.5531233137563756,95,37,170,1849
clean,fusion,0,0.2,Arable land,883,0.7316062176165803,0.7995469988674971,0.7640692640692641,0.8353487990223545,706,259,177,1009
clean,fusion,0,0.2,Broad-leaved forest,511,0.616580310880829,0.2328767123287671,0.3380681818181818,0.5073675472918485,119,74,392,1566
clean,fusion,0,0.2,Complex cultivation patterns,1172,0.7328671328671329,0.89419795221843,0.8055342044581092,0.8393324417940351,1048,382,124,597
