variant,regime,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
ed,ed_r2,0,0.8,Broad-leaved forest,511,0.5492424242424242,0.2837573385518591,0.3741935483870968,0.4788733712880965,145,119,366,1521
ed,ed_r2,0,0.8,Complex cultivation patterns,1172,0.7284132841328413,0.8421501706484642,0.7811634349030471,0.8292954012910407,987,368,185,611
ed,ed_r2,0,0.8,Coniferous forest,1193,0.8772946859903382,0.7611064543168483,0.8150807899461401,0.9202127382424876,908,127,285,831
ed,ed_r2,0,0.8,Inland waters,379,0.8874458874458875,0.5408970976253298,0.6721311475409836,0.8011696292548991,205,26,174,1746
ed,ed_r2,0,0.8,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6608695652173913,0.7630522088353414,0.7082945013979497,0.7446753744675237,760,390,236,765
ed,ed_r2,0,0.8,Marine waters,116,0.9133858267716536,1.0,0.9547325102880658,0.9999999999999997,116,11,0,2024
ed,ed_r2,0,0.8,Mixed forest,1214,0.7024291497975709,0.857495881383855,0.7722551928783383,0.8119978550218969,1041,441,173,496
ed,ed_r2,0,0.8,Pastures,916,0.6504961411245865,0.6441048034934498,0.6472846955567746,0.7160112648067626,590,317,326,918
ed,ed_r2,0,0.8,"Transitional woodland, shrub",885,0.609271523178808,0.207909604519774,0.3100252737994945,0.5420546438652692,184,118,701,1148
ed,ed_r2,0,0.8,Urban fabric,265,0.8032786885245902,0.18490566037735848,0.3006134969325153,0.44919742278514563,49,12,216,1874
ed,ed_r2,0,1.0,Arable land,883,0.0,0.0,0.0,0.6815546232186755,0,0,883,1268
ed,ed_r2,0,1.0,Broad-leaved forest,511,0.0,0.0,0.0,0.41543590353222704,0,0,511,1640
ed,ed_r2,0,1.0,Complex cultivation patterns,1172,0.0,0.0,0.0,0.8024631687142504,0,0,1172,979
ed,ed_r2,0,1.0,Coniferous forest,1193,0.7283687943262411,0.8608549874266554,0.7890895121014214,0.8983338847002891,1027,383,166,575
ed,ed_r2,0,1.0,Inland waters,379,0.0,0.0,0.0,0.7918789699857366,0,0,379,1772
ed,ed_r2,0,1.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.0,0.0,0.7231535119917388,0,0,996,1155
ed,ed_r2,0,1.0,Marine waters,116,0.5631067961165048,1.0,0.7204968944099379,0.9999999999999998,116,90,0,1945
ed,ed_r2,0,1.0,Mixed forest,1214,0.6954102920723226,0.8237232289950577,0.7541478129713424,0.8097049510979657,1000,438,214,499
ed,ed_r2,0,1.0,Pastures,916,0.0,0.0,0.0,0.6422766674412271,0,0,916,1235
ed,ed_r2,0,1.0,"Transitional woodland, shrub",885,0.56,0.1423728813559322,0.22702702702702704,0.5226716851988781,126,99,759,1167
ed,ed_r2,0,1.0,Urban fabric,265,0.7282608695652174,0.2528301886792453,0.3753501400560224,0.44619757108988223,67,25,198,1861
ed_residual,ed_r2,0,0.0,Arable land,883,0.7763761467889908,0.766704416761042,0.7715099715099715,0.8607916172081498,677,195,206,1073
ed_residual,ed_r2,0,0.0,Broad-leaved forest,511,0.48440366972477067,0.5166340508806262,0.5,0.5186565005897212,264,281,247,1359
ed_residual,ed_r2,0,0.0,Complex cultivation patterns,1172,0.760200429491768,0.9061433447098977,0.8267808485792137,0.8668369127686928,1062,335,110,644
ed_residual,ed_r2,0,0.0,Coniferous forest,1193,0.9234800838574424,0.7384744341994971,0.8206800186306474,0.9452892322673371,881,73,312,885
ed_residual,ed_r2,0,0.0,Inland waters,379,0.9022222222222223,0.5356200527704486,0.6721854304635762,0.8105997399569242,203,22,176,1750
